DOI,Title,Creators
10.4232/1.4492,"Citizenship, Involvement, Democracy","Andersen, Jørgen Goul; Andersen, Jørgen Goul; Deth, Jan W. van; Deth, Jan W. van; Geurts, Peter; Geurts, Peter; Viegas, José Manuel Leite; Viegas, José Manuel Leite; Badescu, Gabriel; Badescu, Gabriel; Selle, Per; Selle, Per; Teorell, Jan; Teorell, Jan; Iglic, Hajdeja; Iglic, Hajdeja; Montero, José Ramón; Montero, José Ramón; Westholm, Anders; Westholm, Anders; Armingeon, Klaus; Armingeon, Klaus"
10.4232/1.3474,Family Policy Database,"Flora, Peter; Flora, Peter"
10.4232/1.4457,Euromanifestos Project (EMP) 1979 - 2004,"Schmitt, Hermann; Schmitt, Hermann; Wüst, Andreas M.; Wüst, Andreas M."
10.4232/1.4437,Sparen und Altersvorsorge in Deutschland (SAVE) 2005,"Börsch-Supan, Axel; Schunk, Daniel"
10.4232/1.11204,Landtagswahl in Rheinland-Pfalz 1967 (Voruntersuchung),"Wildenmann, Rudolf"
10.4232/1.4436,Sparen und Altersvorsorge in Deutschland (SAVE) 2003/04,"Börsch-Supan, Axel; Schunk, Daniel; Essig, Lothar"
10.4232/1.2517,"Vergleichende Wahlstudie 1990 (Hauptbefragte, 1. Welle)","Kaase, Max"
10.4232/1.0558,"Bundestagswahl 1965 (Nachuntersuchung, November 1965)","Kaase, M.; Wildenmann, R."
10.4232/1.12823,ALLBUS/GGSS 1994 (Allgemeine Bevölkerungsumfrage der Sozialwissenschaften/German General Social Survey 1994),"Allerbeck, Klaus R.; Allerbeck, Klaus R.; Allmendinger, Jutta; Allmendinger, Jutta; Müller, Walter; Müller, Walter; Opp, Karl-Dieter; Opp, Karl-Dieter; Pappi, Franz U.; Pappi, Franz U.; Scheuch, Erwin K.; Scheuch, Erwin K.; Ziegler, Rolf; Ziegler, Rolf"
10.4232/1.0064,Politische Einstellungen (Januar 1964),"Wildenmann, Rudolf"
10.4232/1.0084,Arbeitsbuch: Wählerverhalten in der Bundesrepublik,"Norpoth, Helmut; Scheuch, Erwin K.; Baumert, Gerhard; Klingemann, Hans-Dieter; Pappi, Franz Urban; Wildenmann, Rudolf; Forschungsgruppe Wahlen, Mannheim"
10.4232/1.0867,"Saarland-Wahluntersuchung 1975 (Panel: Voruntersuchung, Oktober 1974)","Kaase, Max"
10.4232/1.0866,"Saarland-Wahluntersuchung 1975 (Panel: Voruntersuchung, März 1974)","Kaase, Max"
10.4232/1.0865,"Saarland-Wahluntersuchung 1975 (Panel: Voruntersuchung, Mai 1973)","Kaase, Max"
10.4232/1.0861,ZUMABUS 1 (1976),"Wildenmann, Rudolf; Wildenmann, Rudolf; Mayer, Karl U.; Mayer, Karl U.; Müller, Walter; Müller, Walter; Sozialwissenschaftliches Forschungsinstitut der Konrad-Adenauer-Stiftung, Alfter/Bonn; Sozialwissenschaftliches Forschungsinstitut der Konrad-Adenauer-Stiftung, Alfter/Bonn; ZUMA, Mannheim; ZUMA, Mannheim"
10.4232/1.5163,European Parliament Elections – Euromanifesto Study (Documents),"Schmitt, Hermann; Schmitt, Hermann; Braun, Daniela; Braun, Daniela; Popa, Sebastian A.; Popa, Sebastian A."
10.4232/1.5162,"European Parliament Election Study 2014, Euromanifesto Study","Schmitt, Hermann; Schmitt, Hermann; Braun, Daniela; Braun, Daniela; Popa, Sebastian A.; Popa, Sebastian A.; Mikhaylov, Slava; Mikhaylov, Slava; Dwinger, Felix; Dwinger, Felix"
10.4232/1.5161,"European Parliament Election Study 2014, Voter Study, Supplementary Study","Schmitt, Hermann; Schmitt, Hermann; Popa, Sebastian Adrian; Popa, Sebastian Adrian; Devinger, Felix; Devinger, Felix"
10.4232/1.14377,"European Parliament Election Study 2014, Voter Study, First Post-Election Survey","Schmitt, Hermann; Schmitt, Hermann; Hobolt, Sara B.; Hobolt, Sara B.; Popa, Sebastian A.; Popa, Sebastian A.; Teperoglou, Eftichia; Teperoglou, Eftichia; European Parliament, Directorate-General for Communication, Public Monitoring Unit; European Parliament, Directorate-General for Communication, Public Monitoring Unit"
10.4232/1.0869,Politik im Saarland (Februar 1975),"Kaase, Max"
10.4232/1.4330,Studie zur Gesundheitsreform 2004,"Pappi, Franz U.; Shikano, S."
10.4232/1.10062,Sparen und Altersvorsorge in Deutschland (SAVE) 2009,"Börsch-Supan, Axel; Coppola, Michela; Ziegelmeyer, Michael"
10.4232/1.0814,ZUMABUS 2 (1977),"Bundesgesundheitsamt, Berlin; Bundesgesundheitsamt, Berlin; Herz, Thomas A.; Herz, Thomas A.; Wildenmann, Rudolf; Wildenmann, Rudolf; Zapf, Wolfgang; Zapf, Wolfgang; ZUMA, Mannheim; ZUMA, Mannheim"
10.4232/1.14120,"European Parliament Election Study 1979-2019, Euromanifesto Study","Carteny, Giuseppe; Carteny, Giuseppe; Reinl, Ann-Kathrin; Reinl, Ann-Kathrin; Braun, Daniela; Braun, Daniela; Popa, Sebastian A.; Popa, Sebastian A.; Schmitt, Hermann; Schmitt, Hermann"
10.4232/1.0796,Westdeutsche Führungsschicht,"Wildenmann, Rudolf; Kaltefleiter, Werner"
10.4232/1.4997,Bundestagswahl 2005 Kampagnendynamik - Fernsehnachrichtenanalyse,"Schmitt-Beck, Rüdiger; Krewel, Mona; Wolsing, Ansgar"
10.4232/1.2933,Wohlfahrtssurveys 1978 - 1993 (Kumulierter Datensatz),"Zapf, Wolfgang; Siara, Christian S.; Glatzer, Wolfgang; Noll, Heinz-Herbert; Habich, Roland; Müller-Andritzky, Maria; Lang, Sabine; Volkert, Marieke; Brachtl, Wolfgang; Gransche, Elisabeth; Glatzer, Wolfgang; Zapf, Wolfgang; Noll, Heinz-Herbert; Spellerberg, Annette; Zentralinstitut Für Jugendforschung (ZIJ), Leipzig"
10.4232/1.0983,Die Beschäftigung ausländischer Arbeitnehmer in einzelwirtschaftlicher Sicht (Betriebsbefragung),"Gaugler, Eduard; Sozialforschung Brög, München"
10.4232/1.3714,ALLBUScompact/GGSScompact 1990 (Allgemeine Bevölkerungsumfrage der Sozialwissenschaften/German General Social Survey 1990),"Allerbeck, Klaus; Allerbeck, Klaus; Mayer, Karl Ulrich; Mayer, Karl Ulrich; Müller, Walter; Müller, Walter; Opp, Karl-Dieter; Opp, Karl-Dieter; Pappi, Franz Urban; Pappi, Franz Urban; Scheuch, Erwin K.; Scheuch, Erwin K.; Ziegler, Rolf; Ziegler, Rolf"
10.4232/1.2870,Determinanten der Ehescheidung (Methodenstudie),"Esser, Hartmut; Babka Von Gostomski, Christian; Hartmann, Josef"
10.4232/1.0557,"Bundestagswahl 1965 (Nachuntersuchung, Oktober 1965, II)","Kaase, M.; Wildenmann, R."
