doi,title,creators,repository
10.4232/cils4eu-de.6655.8.0.0,Children of Immigrants Longitudinal Survey in Four European Countries - Germany (CILS4EU-DE) - Vollversion. Datenbestand zur on-site Nutzung,Frank Kalter; Irena Kogan; Jörg Dollmann,GESIS
10.4232/cils4eu-de.6656.8.0.0,Children of Immigrants Longitudinal Survey in Four European Countries - Germany (CILS4EU-DE) - Reduzierte Version. Reduzierter Datenbestand zum Download und zur off-site Nutzung,Frank Kalter; Irena Kogan; Jörg Dollmann,GESIS
10.4232/1.14697,Radikale und extremistische Einstellungen in Europa,Marc Helbling; Nina Fadarkhan Osenbrügge; Sebastian Jungkunz,GESIS
10.7802/2975,Code/Syntax: Protected by Faith? Religion and COVID-19 Vaccination Uptake among Young Adults in Germany,L. Kristian Arnold; Joerg Dollmann,Open MIND
10.7802/2998,PARFORM,Irena Kogan; Stefanie Heyne; Jana Kuhlemann; Carlos Palomo Lario,GESIS
10.7802/3031,Political Identities and News Consumption in Election Times (PINCET),Ruben L. Bach; Florian Keusch; João Areal; Paulina Pankowska; Alexandru Cernat,GESIS
10.5281/zenodo.3946462,TaxGraph - A Knowledge Graph of Multi-National Companies and their Relationships,Niklas Lüdemann; Ageda Shiba; Nikolaos Thymianis; Nicolas Heist; Christopher Ludwig; Heiko Paulheim,Zenodo
10.5281/zenodo.8422037,SOTAB V2 for SemTab 2023,Keti Korini; Ralph Peeters; Christian Bizer,Zenodo
10.5281/zenodo.1320159,Kglove Dbpedia Inverse Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1318146,Rdf2Vec Dbpedia Uniform Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320042,Rdf2Vec Dbpedia Page Rank Split Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320165,Kglove Dbpedia Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320032,Kglove Dbpedia Inverse Page Rank Split Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320030,Kglove Dbpedia Inverse Page Rank Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320810,Rdf2Vec Dbpedia Inverse Page Rank Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320154,Kglove Dbpedia Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320150,Kglove Dbpedia Predicate Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320081,Rdf2Vec Dbpedia Predicate Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320211,Rdf2Vec Dbpedia Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320148,Kglove Dbpedia Uniform Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
10.5281/zenodo.1320007,Rdf2Vec Dbpedia Inverse Predicate Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim,Zenodo
