doi,title,creators,repository,repository_method,overlap openaire,overlap openalex,overlap_openaire_doi,overlap_openalex_doi,match_method_openaire,match_confidence_openaire,match_method_openalex,match_confidence_openalex
10.4232/1.0924,"Security Policy Planning Problems of the Federal Republic of Germany (Elites, 1977)","Schössler, Dieter; Enke, Edo",GESIS,field,1,0,1,0,doi,high,,
10.4232/1.0923,"Security Policy Planning Problems of the Federal Republic of Germany (Elites, 1976)","Schössler, Dieter; Enke, Edo",GESIS,field,1,0,1,0,doi,high,,
10.4232/1.12051,Supplementary Variables for ALLBUS/GGSS 1980-2012 (Kumulierte Allgemeine Bevölkerungsumfrage der Sozialwissenschaften / Cumulated German General Social Survey 1980-2012),"Allerbeck, Klaus; Allmendinger, Jutta; Andreß, Hans-Jürgen; Bürklin, Wilhelm; Diekmann, Andreas; Feger, Hubert; Fetchenhauer, Detlef; Huinink, Johannes; Kiefer, Marie Luise; Kühnel, Steffen; Lepsius, M. Rainer; Liebig, Stefan; Mayer, Karl Ulrich; Meulemann, Heiner; Müller, Walter; Opp, Karl Dieter; Pappi, Franz Urban; Scheuch, Erwin K.; Schmitt-Beck, Rüdiger; Solga, Heike; Trappe, Heike; Wagner, Michael; Ziegler, Rolf",GESIS,field,1,0,1,0,doi,high,,
10.4232/1.13767,ALLBUS/GGSS (Allgemeine Bevölkerungsumfrage der Sozialwissenschaften/German General Social Survey) - Sensitive Regional Data,"Allerbeck, Klaus; Allmendinger, Jutta; Andreß, Hans-Jürgen; Bürklin, Wilhelm; Diekmann, Andreas; Feger, Hubert; Fetchenhauer, Detlef; Huinink, Johannes; Kiefer, Marie Luise; Kreuter, Frauke; Kühnel, Steffen; Kurz, Karin; Lepsius, M. Rainer; Liebig, Stefan; Mayer, Karl Ulrich; Meulemann, Heiner; Müller, Walter; Opp, Karl Dieter; Pappi, Franz Urban; Scheuch, Erwin K.; Schmitt-Beck, Rüdiger; Solga, Heike; Trappe, Heike; Wagner, Michael; Westle, Bettina; Ziegler, Rolf",GESIS,field,1,0,1,0,doi,high,,
10.4232/1.0796,West German Leadership,"Wildenmann, Rudolf; Kaltefleiter, Werner",GESIS,field,1,0,1,0,doi,high,,
10.4232/1.4978,Survey of members of the German Association for Political Sciences (DVPW),"Schmitt-Beck, Rüdiger; Faas, Thorsten",GESIS,field,1,0,1,0,doi,high,,
10.4232/1.12039,Long-term-Online-Tracking of State Election Bavaria 2013 (GLES),"Rattinger, Hans; Roßteutscher, Sigrid; Schmitt-Beck, Rüdiger; Weßels, Bernhard; Wolf, Christof",GESIS,field,1,0,1,0,doi,high,,
10.4232/1.12221,"Long-term Online Tracking, T8 (GLES 2009)","Rattinger, Hans; Roßteutscher, Sigrid; Schmitt-Beck, Rüdiger; Weßels, Bernhard",GESIS,field,1,0,1,0,doi,high,,
10.4232/cils4eu.5994.2.0.0,CILS4EU Campus Use File,"Kalter, Frank; Kogan, Irena; Dollmann, Jörg; Horr, Andreas; Jacob, Konstanze; Kruse, Hanno; Salikutluk, Zerrin; Kroneberg, Clemens; Heath, Anthony F.; Hewstone, Miles; Parameshwaran, Meenakshi; Kalmijn, Matthijs; Tubergen, Frank van; Geven, Sara; Jaspers, Eva; Smith, Sanne; Zantvliet, Pascale van; Jonsson, Jan O.; Andersson Rydell, Linus",GESIS,field,1,0,1,0,doi,high,,
10.4232/1.11699,"Long-term Online Tracking, T7 (GLES 2009)","Rattinger, Hans; Roßteutscher, Sigrid; Schmitt-Beck, Rüdiger; Weßels, Bernhard",GESIS,field,1,0,1,0,doi,high,,
