DOI,Title,Creators,Publisher
10.4232/1.3721,ALLBUScompact/GGSScompact 2000 CAPI (Allgemeine Bevölkerungsumfrage der Sozialwissenschaften/German General Social Survey 2000 CAPI),"Allmendinger, Jutta; Allmendinger, Jutta; Andreß, Hans-Jürgen; Andreß, Hans-Jürgen; Bürklin, Wilhelm; Bürklin, Wilhelm; Diekmann, Andreas; Diekmann, Andreas; Feger, Hubert; Feger, Hubert; Huinink, Johannes; Huinink, Johannes; Meulemann, Heiner; Meulemann, Heiner; Müller, Walter; Müller, Walter; Opp, Karl Dieter; Opp, Karl Dieter; Scheuch, Erwin K.; Scheuch, Erwin K.; Solga, Heike; Solga, Heike",GESIS Data Archive for the Social Sciences
10.4232/1.2546,Election Study 1994: Politbarometer West 1994 (Trend Investigations),"Berger, Manfred; Berger, Manfred; Jung, Matthias; Jung, Matthias; Roth, Dieter; Roth, Dieter; Gibowski, Wolfgang G.; Gibowski, Wolfgang G.; Kaase, Max; Kaase, Max; Klingemann, Hans-Dieter; Klingemann, Hans-Dieter; Küchler, Manfred; Küchler, Manfred; Pappi, Franz U.; Pappi, Franz U.; Semetko, Holli A.; Semetko, Holli A.",GESIS Data Archive for the Social Sciences
10.4232/1.11703,Immigrant children and youths in the German and Israeli educational systems (third transition),"Adler, Irit; Adler, Irit; Bolotin-Chachashvili, Svetlana; Bolotin-Chachashvili, Svetlana; Hämmerling, Aline; Hämmerling, Aline; Jacob, Konstanze; Jacob, Konstanze; Jahn, Judith; Jahn, Judith; Kalter, Frank; Kalter, Frank; Kogan, Irena; Kogan, Irena; Kristen, Cornelia; Kristen, Cornelia; Levin-Epstein, Noah; Levin-Epstein, Noah; Roth, Tobias; Roth, Tobias; Salikutluk, Zerrin; Salikutluk, Zerrin; Shavit, Yossi; Shavit, Yossi; Steinmetz, Stephanie; Steinmetz, Stephanie",GESIS Data Archive for the Social Sciences
10.4232/1.3451,ALLBUS/GGSS 2000 CAPI (Allgemeine Bevölkerungsumfrage der Sozialwissenschaften/German General Social Survey 2000 CAPI),"Allmendinger, Jutta; Allmendinger, Jutta; Andreß, Hans-Jürgen; Andreß, Hans-Jürgen; Bürklin, Wilhelm; Bürklin, Wilhelm; Diekmann, Andreas; Diekmann, Andreas; Feger, Hubert; Feger, Hubert; Huinink, Johannes; Huinink, Johannes; Meulemann, Heiner; Meulemann, Heiner; Müller, Walter; Müller, Walter; Opp, Karl-Dieter; Opp, Karl-Dieter; Scheuch, Erwin K.; Scheuch, Erwin K.; Solga, Heike; Solga, Heike",GESIS Data Archive for the Social Sciences
10.4232/1.12368,Langfrist-Online-Tracking T29 (GLES),"Roßteutscher, Sigrid; Schmitt-Beck, Rüdiger; Schoen, Harald; Weßels, Bernhard; Wolf, Christof; Henckel, Simon; Bieber, Ina; Scherer, Philipp",
10.7910/dvn/27333,"Replication data for: Governments, Parliaments, and Legislative Activity","Bräuninger, Thomas; Debus, Marc; Wüst, Fabian",Harvard Dataverse
10.7910/dvn/jbogc9,Replication Code for: The Power of Mandatory Quality Disclosure: Evidence from the German Housing Market,"Gerster, Andreas; Frondel, Manuel; Vance, Colin",Harvard Dataverse
10.7910/dvn/yfgxq3,Replication Data for: Precarious work and challenger parties: how precarity influenced vote choice in the 2018 Italian election,"Girardi, Elisabetta",Harvard Dataverse
10.5441/002/edbt.2019.34,Extending Cross-Domain Knowledge Bases with Long Tail Entities using Web Table Data,"Oulabi, Yaser; Bizer, Christian",
10.7910/dvn/oqtuzm,"Replication Data for ""Does poverty undermine cooperation in multiethnic settings? Evidence from a cooperative investment experiment.""","Schaub, Max; Gereke, Johanna; Baldassarri, Delia",Harvard Dataverse
