DOI,Title,Creators,Publisher
10.1037/e722842011-018,Overconfidence of professionals and lay men: Individual differences within and between tasks?,Markus Glaser; Thomas Langer; Martin Weber,PsycEXTRA Dataset
10.7910/dvn/wl1pke,Election Campaigns and Voter Decision-making in a Multi-Party System: The 2009 and 2013 German Federal Elections,"Harald Hans Rattinger Maria Preißinger Konstantin Gavras Markus Steinbrecher Schoen; Rattinger, Hans; Preißinger, Maria; Gavras, Konstantin; Steinbrecher, Markus",
10.1037/e512592013-203,How specific is source memory for faces of cheaters? Evidence for categorical emotional tagging,R. Bell; A. Buchner; E. Erdfelder; T. Giang; C. Schain; N. Riether,PsycEXTRA Dataset
10.5281/zenodo.5808870,RUEG Corpus,"Heike Wiese; Άρτεμις Αλεξιάδου; Shanley Allen; Oliver Bunk; Natalia Gagarina; Kateryna Iefremenko; Esther Jahns; Martin Klotz; Thomas Krause; Annika Labrenz; Anke Lüdeling; Maria Martynova; Katrin Neuhaus; Tatiana Pashkova; Vicky Rizou; Rosemarie, Tracy; Christoph Schroeder; Luka Szucsich; Wintai Tsehaye; Sabine Zerbian; Yulia Zuban",Zenodo (CERN European Organization for Nuclear Research)
10.7910/dvn/0unuam,Seki-Williams Government and Ministers Data,"Laron Seki Williams; Seki, Katsunori",Harvard Dataverse
10.7910/dvn/xil6ow,Open Expert Survey 2021,Michael Jankowski; Christian Stecker; Andreas Blätte; Thomas Bräuninger; Marc Debus; Anna‐Sophie Kurella; Jochen Müller; Susanne Pickel,Harvard Dataverse
10.7910/dvn/crouhh,Rules and Allies: Foreign Election Interventions,Johannes Bubeck; Nikolay Marinov,Harvard Dataverse
10.5281/zenodo.3236069,RUEG Corpus,"Heike Wiese; Άρτεμις Αλεξιάδου; Shanley Allen; Oliver Bunk; Natalia Gagarina; Kateryna Iefremenko; Esther Jahns; Martin Klotz; Thomas Krause; Annika Labrenz; Anke Lüdeling; Maria Martynova; Katrin Neuhaus; Tatiana Pashkova; Vicky Rizou; Rosemarie, Tracy; Christoph Schroeder; Luka Szucsich; Wintai Tsehaye; Sabine Zerbian; Yulia Zuban",Figshare
10.7910/dvn/zy3rv7,ParlEE plenary speeches data set: Annotated full-text of 21.6 million sentence-level plenary speeches of eight EU states,Christine Sylvester; Zachary Greene; Benedikt Ebing,Harvard Dataverse
10.5281/zenodo.3765218,RUEG Corpus,"Heike Wiese; Άρτεμις Αλεξιάδου; Shanley Allen; Oliver Bunk; Natalia Gagarina; Kateryna Iefremenko; Esther Jahns; Martin Klotz; Thomas Krause; Annika Labrenz; Anke Lüdeling; Maria Martynova; Katrin Neuhaus; Tatiana Pashkova; Vicky Rizou; Rosemarie, Tracy; Christoph Schroeder; Luka Szucsich; Wintai Tsehaye; Sabine Zerbian; Yulia Zuban",Zenodo (CERN European Organization for Nuclear Research)
